OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2002700,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 04:00:00+00,Restaurant,3,-78.67445032,35.78959693,M
2002701,04092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(984) 235-4608,2016/09/16 04:00:00+00,Restaurant,9,-78.4951784,35.96732914,M
2002702,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021/05/13 04:00:00+00,Restaurant,22,-78.62263526,35.8662752,M
2002703,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 04:00:00+00,Restaurant,29,-78.52999701,35.94975468,M
2002704,04092025369,Crepe Time Catering @ TKA,2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 377-9447,2021/06/24 04:00:00+00,Food Stand,30,-78.63902655,35.752054,M
2002705,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 05:00:00+00,Restaurant,32,-78.84707532,35.82315923,M
2002706,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 04:00:00+00,Restaurant,34,-78.66755526,35.73521897,M
2002707,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Restaurant,38,-78.82726689,35.7464159,M
2002708,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 04:00:00+00,Restaurant,39,-78.63957991,35.77810063,M
2002709,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 04:00:00+00,Restaurant,40,-78.55981965,35.9407555,M
2002710,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021/03/24 04:00:00+00,Restaurant,41,-78.76795619,35.83059406,M
2002711,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 04:00:00+00,Restaurant,44,-78.54504471,35.96485726,M
2002712,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 04:00:00+00,Restaurant,48,-78.537511,35.87630713,M
2002713,04092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,,CARY,NC,27518,(919) 859-5559,2017/02/28 05:00:00+00,Restaurant,58,-78.78426862,35.73925014,M
2002714,04092021875,HL Catering Primary Shared Kitchen,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 04:00:00+00,Food Stand,62,-78.65955263,35.79661923,M
2002715,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 04:00:00+00,Restaurant,78,-78.5408878,35.94279833,M
2002716,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 04:00:00+00,Restaurant,85,-78.88929435,35.84836238,M
2002717,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 05:00:00+00,Restaurant,90,-78.67872874,35.78448278,M
2002718,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 04:00:00+00,Restaurant,98,-78.68248786,35.89850336,M
2002719,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 04:00:00+00,Restaurant,101,-78.63994726,35.83691426,M
2002720,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021/06/07 04:00:00+00,Restaurant,109,-78.68116797,35.89788799,M
2002721,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 04:00:00+00,Restaurant,111,-78.62166097,35.89510574,M
2002722,04092016771,Linus & Pepper's,126 S SALISBURY ST ,,RALEIGH,NC,27601,(919) 649-2154,2014/09/30 04:00:00+00,Restaurant,139,-78.64041384,35.77862242,M
2002723,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 04:00:00+00,Food Stand,149,-78.84865444,35.78921622,M
2002724,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 05:00:00+00,Restaurant,154,-78.64536523,35.80340045,M
2002725,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 04:00:00+00,Restaurant,183,-78.68893912,35.78436913,M
2002726,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 04:00:00+00,Restaurant,185,-78.81676023,35.80454378,M
2002727,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 04:00:00+00,Food Stand,186,-78.57603863,35.86599856,M
2002728,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 04:00:00+00,Food Stand,195,-78.66044244,35.88617531,T
2002729,04092025378,Wingstop #2032,1619 CROSS LINK RD,,RALEIGH,NC,27610,(919) 977-4111,2021/08/17 04:00:00+00,Food Stand,200,-78.61481064,35.75482608,M
2002730,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 04:00:00+00,Restaurant,19,-78.78606215,35.90557616,M
2002731,04092018715,Foundation Senior Living Food Service,1437 Aversboro RD ,,GARNER,NC,27529,(919) 624-2564,2021/09/13 04:00:00+00,Restaurant,218,-78.61572011,35.69056999,M
2002732,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 04:00:00+00,Food Stand,220,-78.60165311,35.89132184,M
2002733,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021/06/22 04:00:00+00,Restaurant,229,-78.73871452,35.76064286,M
2002734,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,256,-78.83920922,35.63987917,M
2002735,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 04:00:00+00,Restaurant,257,-78.64681795,35.78777191,M
2002736,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 04:00:00+00,Restaurant,264,-78.83661982,35.66097455,M
2002737,04092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 05:00:00+00,Restaurant,266,-78.64011364,35.78945486,M
2002738,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 04:00:00+00,Food Stand,276,-78.73871452,35.76064286,M
2002739,04092030551,9.19 Island cuisine,13654 CAPITAL BLVD,,WAKE FOREST,NC,27587,(518) 817-0688,2021/08/19 04:00:00+00,Mobile Food Units,277,-78.51867461,36.00548951,M
2002740,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021/03/25 04:00:00+00,Food Stand,279,-78.68184484,35.84183815,T
2002741,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 04:00:00+00,Restaurant,282,-78.76305622,35.79140272,M
2002742,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 04:00:00+00,Restaurant,285,-78.78334742,35.90685073,M
2002743,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,(919) 269-9621,2014/06/04 04:00:00+00,Institutional Food Service,292,-78.32569568,35.81964939,M
2002744,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012/09/14 04:00:00+00,Restaurant,297,-78.63943083,35.78220511,M
2002745,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 04:00:00+00,Food Stand,303,-78.82197042,35.74562504,M
2002746,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 04:00:00+00,Restaurant,304,-78.64623771,35.72377782,M
2002747,04092015464,POLAR ICE HOUSE,1410 BUCK JONES RD ,,RALEIGH,NC,27606,(919) 460-2756,2009/09/11 04:00:00+00,Restaurant,315,-78.74547814,35.76540093,M
2002748,04092018634,Ish Deli,702 N PERSON ST,,RALEIGH,NC,27604,(919) 810-7451,2021/06/01 04:00:00+00,Restaurant,317,-78.63408794,35.78910376,M
2002749,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 04:00:00+00,Food Stand,322,-78.87770701,35.75964934,M
2002750,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 05:00:00+00,Restaurant,326,-78.68223183,35.90105252,M
